fund_code,fund_name,ann_return_pct,ann_vol_pct,sharpe,ann_excess_return_pct,tracking_error_pct,information_ratio,max_drawdown_pct
016276.OF,招商中证800指数增强A,35.95621297363132,17.048650325225385,2.1090357469781686,6.342396443631318,2.6436656501654126,2.3990917471861386,-8.663927458203464
022513.OF,人保中证800指数增强A,28.826496577487937,16.351687115356132,1.7629065657950678,-0.7873199525120623,4.056725033607226,-0.19407772180506408,-9.379468115527594
010673.OF,兴全中证800六个月持有指数增强A,11.136702130315989,15.188892705715384,0.7332135624425994,-18.47711439968401,8.220919190673635,-2.2475728043459777,-11.159851301115234
