,PCT_CHG
2025-07-01,0.32597019
2025-07-02,-0.70297927
2025-07-03,0.50415323
2025-07-04,-0.18952295
2025-07-07,-0.18658075
2025-07-08,1.31072515
2025-07-09,-0.40578187
2025-07-10,0.49657284
2025-07-11,0.73588548
2025-07-14,-0.10320754
2025-07-15,-0.03488207
2025-07-16,-0.02597878
2025-07-17,1.08471976
2025-07-18,0.28189232
2025-07-21,1.01151051
2025-07-22,0.84557686
2025-07-23,-0.26796087
2025-07-24,1.56276402
2025-07-25,0.09521421
2025-07-28,0.37826266
2025-07-29,0.51732925
2025-07-30,-0.65205372
2025-07-31,-1.39902573
2025-08-01,-0.21106771
2025-08-04,0.78107721
2025-08-05,0.66282946
2025-08-06,0.85893977
2025-08-07,-0.31199031
2025-08-08,-0.221578
2025-08-11,1.07945918
2025-08-12,0.41303181
2025-08-13,1.40130983
2025-08-14,-1.20237283
2025-08-15,2.15749795
2025-08-18,1.51635135
2025-08-19,-0.19288793
2025-08-20,1.09324276
2025-08-21,-0.35528023
2025-08-22,1.77026054
2025-08-25,1.89141867
2025-08-26,0.17505729
2025-08-27,-1.45752367
2025-08-28,2.16533987
2025-08-29,0.46756028
2025-09-01,0.94189594
2025-09-02,-2.08991247
2025-09-03,-1.33915627
2025-09-04,-2.4752865
2025-09-05,3.21725002
2025-09-08,1.1305211
2025-09-09,-0.9031857
2025-09-10,0.04537618
2025-09-11,2.74946477
2025-09-12,0.35160518
2025-09-15,-0.14530729
2025-09-16,0.75139939
2025-09-17,0.96012473
2025-09-18,-0.8285428
2025-09-19,-0.41020112
2025-09-22,0.76396981
2025-09-23,-0.61472128
2025-09-24,1.99138423
2025-09-25,0.24051337
2025-09-26,-1.36776967
2025-09-29,1.51429142
2025-09-30,0.84086792
2025-10-09,1.84224788
2025-10-10,-1.9962915
2025-10-13,-0.29277972
2025-10-14,-2.46337875
2025-10-15,1.37807581
2025-10-16,-0.85642704
2025-10-17,-2.97955471
2025-10-20,0.76360598
2025-10-21,1.64057548
2025-10-22,-0.79528792
2025-10-23,0.20307281
2025-10-24,1.61810795
2025-10-27,1.66507169
2025-10-28,-0.51987602
2025-10-29,1.90622014
2025-10-30,-1.27330738
2025-10-31,-0.7407249
2025-11-03,0.03544126
2025-11-04,-1.67415701
2025-11-05,0.25677643
2025-11-06,1.60985628
2025-11-07,-0.24248396
2025-11-10,0.21685444
2025-11-11,-0.71071227
2025-11-12,-0.66322953
2025-11-13,1.54685847
2025-11-14,-1.62915918
2025-11-17,-0.0015272
2025-11-18,-1.16557715
2025-11-19,-0.39534373
2025-11-20,-0.85355839
2025-11-21,-3.46277459
2025-11-24,0.75624171
2025-11-25,1.24672323
2025-11-26,0.15014372
2025-11-27,-0.19757086
2025-11-28,1.15469452
2025-12-01,0.99952066
2025-12-02,-0.86641725
2025-12-03,-0.6242006
2025-12-04,0.23513529
2025-12-05,1.21253602
2025-12-08,1.05001256
2025-12-09,-0.71164093
2025-12-10,0.48683071
2025-12-11,-1.02153797
2025-12-12,1.2268687
2025-12-15,-0.77866984
2025-12-16,-1.5834102
2025-12-17,1.94984836
2025-12-18,-0.51833652
2025-12-19,0.96770579
2025-12-22,1.20104591
2025-12-23,0.01551478
2025-12-24,1.31260857
2025-12-25,0.79804113
2025-12-26,0.64942074
2025-12-29,-0.37839537
2025-12-30,0.38114343
2025-12-31,0.08899661
2026-01-05,2.48639817
2026-01-06,2.12956844
2026-01-07,0.77995319
2026-01-08,0.24714028
2026-01-09,2.05383725
2026-01-12,2.38859631
2026-01-13,-1.2831357
2026-01-14,1.03664617
2026-01-15,-0.05382673
2026-01-16,0.1143791
2026-01-19,0.67138575
2026-01-20,-0.48434311
2026-01-21,1.11918748
2026-01-22,0.56931721
2026-01-23,2.41512496
2026-01-26,-0.97172396
2026-01-27,0.49653724
2026-01-28,0.61098041
2026-01-29,-0.96872349
2026-01-30,-1.72957639
2026-02-02,-3.98391842
2026-02-03,3.1063019
2026-02-04,0.14911725
2026-02-05,-1.84298159
2026-02-06,0.00375026
2026-02-09,2.0238368
2026-02-10,-0.05821123
2026-02-11,0.23314307
2026-02-12,1.17416554
2026-02-13,-1.47187603
2026-02-24,1.1244514
2026-02-25,1.6043244
2026-02-26,0.34777477
2026-02-27,1.18302845
2026-03-02,-0.00134782
2026-03-03,-4.35094924
2026-03-04,-0.39447504
2026-03-05,0.73010912
2026-03-06,0.61574612
2026-03-09,-0.96710961
2026-03-10,1.58007366
2026-03-11,-0.08291497
2026-03-12,-0.52190622
2026-03-13,-1.43159877
2026-03-16,-0.66319587
2026-03-17,-2.06625118
2026-03-18,1.0030082
2026-03-19,-2.7090664
2026-03-20,-1.48599927
2026-03-23,-4.11456054
2026-03-24,2.10500559
2026-03-25,2.24146156
2026-03-26,-1.61612523
2026-03-27,1.24944482
2026-03-30,0.20819078
2026-03-31,-1.75911872
2026-04-01,1.74295017
2026-04-02,-1.8683545
2026-04-03,-0.92508202
2026-04-07,0.480065
2026-04-08,4.94038616
2026-04-09,-0.58551172
2026-04-10,0.89549294
2026-04-13,-0.02092513
2026-04-14,1.51702179
2026-04-15,-0.55005282
2026-04-16,1.69073711
2026-04-17,0.41701785
2026-04-20,0.92313988
2026-04-21,-0.2375844
2026-04-22,1.27992769
2026-04-23,-0.96671505
2026-04-24,-0.57058371
2026-04-27,0.62043489
2026-04-28,-1.14576025
2026-04-29,1.68772491
2026-04-30,0.08494416
2026-05-06,2.86162726
2026-05-07,1.26168433
2026-05-08,-0.03021802
2026-05-11,1.67434712
2026-05-12,-0.60818973
2026-05-13,1.50535186
2026-05-14,-2.78173303
2026-05-15,-1.54337452
2026-05-18,0.20960729
2026-05-19,0.86166537
2026-05-20,0.32870048
2026-05-21,-2.73175295
2026-05-22,1.86586622
2026-05-25,1.48013041
2026-05-26,-0.52012261
2026-05-27,-1.4741265
2026-05-28,0.37793547
2026-05-29,-2.37833615
2026-06-01,-1.02095809
2026-06-02,0.57072142
2026-06-03,0.48935432
2026-06-04,-0.06471537
2026-06-05,-1.26369427
2026-06-08,-3.48664276
2026-06-09,2.67127341
2026-06-10,-1.37368332
2026-06-11,-0.34828094
2026-06-12,0.87638301
2026-06-15,3.70759158
2026-06-16,1.20417552
2026-06-17,1.39993631
2026-06-18,0.53324725
2026-06-22,2.25631352
2026-06-23,-2.03172995
2026-06-24,1.7764155
2026-06-25,1.07513478
2026-06-26,-2.62302309
2026-06-29,1.35035698
2026-06-30,2.38388107
2026-07-01,-0.02708557
