fund_code,fund_name,ann_return_pct,ann_vol_pct,sharpe,ann_excess_return_pct,tracking_error_pct,information_ratio,max_drawdown_pct
019918.OF,招商中证2000指数增强A,39.496675698029726,21.064168620228024,1.875064542547427,10.287421818029724,5.050007050829394,2.037110387071669,-13.349439703916936
019919.OF,招商中证2000指数增强C,39.20219065027756,21.064250093824448,1.8610769657435247,9.992936770277556,5.056851724692375,1.9761182083869502,-13.367822038282458
159552.OF,招商中证2000增强策略ETF,34.95376365671022,21.539102798944423,1.6228049971711551,5.744509776710221,5.365550678174228,1.0706281836228868,-14.261348727368148
