,PCT_CHG
2025-07-01,0.2840707
2025-07-02,-0.84715958
2025-07-03,0.71382351
2025-07-04,-1.07762106
2025-07-07,0.6718585
2025-07-08,1.28741166
2025-07-09,-0.08162617
2025-07-10,-0.04619205
2025-07-11,0.47713426
2025-07-14,0.63663477
2025-07-15,-0.68654819
2025-07-16,0.64121913
2025-07-17,1.08659116
2025-07-18,0.06186359
2025-07-21,1.27293417
2025-07-22,0.00712595
2025-07-23,-0.88460218
2025-07-24,1.12012271
2025-07-25,0.29735945
2025-07-28,0.71146517
2025-07-29,0.36901193
2025-07-30,-0.89611112
2025-07-31,-0.64489739
2025-08-01,0.45857229
2025-08-04,1.56190139
2025-08-05,0.90008578
2025-08-06,1.193147
2025-08-07,0.0715304
2025-08-08,-0.22590272
2025-08-11,1.70415957
2025-08-12,0.0575479
2025-08-13,1.03930209
2025-08-14,-1.86805364
2025-08-15,2.03174059
2025-08-18,2.14269484
2025-08-19,0.69498561
2025-08-20,0.42350071
2025-08-21,-0.74390271
2025-08-22,0.6923423
2025-08-25,1.1707094
2025-08-26,0.01657168
2025-08-27,-2.31738093
2025-08-28,0.72592284
2025-08-29,-0.34484086
2025-09-01,1.07009935
2025-09-02,-1.98846575
2025-09-03,-2.02737579
2025-09-04,-1.44534195
2025-09-05,2.74639885
2025-09-08,1.21816701
2025-09-09,-1.29167856
2025-09-10,0.32030375
2025-09-11,1.91596797
2025-09-12,0.00915325
2025-09-15,-0.10690979
2025-09-16,1.61296939
2025-09-17,0.42365523
2025-09-18,-1.0841737
2025-09-19,-0.83932982
2025-09-22,0.42801089
2025-09-23,-1.42759469
2025-09-24,1.38842438
2025-09-25,-0.61196845
2025-09-26,-1.5475246
2025-09-29,0.83851981
2025-09-30,0.32353583
2025-10-09,0.63663787
2025-10-10,-0.6914603
2025-10-13,-0.19218946
2025-10-14,-1.57536809
2025-10-15,1.69672959
2025-10-16,-1.23164331
2025-10-17,-2.85500001
2025-10-20,1.43151753
2025-10-21,1.93276796
2025-10-22,-0.37203898
2025-10-23,-0.21655741
2025-10-24,0.94078258
2025-10-27,0.94429931
2025-10-28,0.17215271
2025-10-29,0.30433922
2025-10-30,-1.50541572
2025-10-31,1.05341103
2025-11-03,0.77395696
2025-11-04,-0.85717891
2025-11-05,0.77343082
2025-11-06,0.60108163
2025-11-07,-0.40051001
2025-11-10,0.61402515
2025-11-11,0.40030134
2025-11-12,-0.68419399
2025-11-13,1.22716495
2025-11-14,-0.65978777
2025-11-17,0.62868907
2025-11-18,-1.31882335
2025-11-19,-1.41403349
2025-11-20,-0.83094358
2025-11-21,-3.98504214
2025-11-24,1.85763709
2025-11-25,1.74862314
2025-11-26,-0.3372701
2025-11-27,0.31262084
2025-11-28,1.32596551
2025-12-01,0.69818698
2025-12-02,-0.47281017
2025-12-03,-1.02725951
2025-12-04,-0.74638917
2025-12-05,1.86573875
2025-12-08,1.46490034
2025-12-09,-0.53278257
2025-12-10,0.17657568
2025-12-11,-1.6959766
2025-12-12,0.6630536
2025-12-15,-0.23661041
2025-12-16,-1.72640396
2025-12-17,0.75160701
2025-12-18,0.07291781
2025-12-19,1.46986985
2025-12-22,0.86004195
2025-12-23,-0.62525186
2025-12-24,1.55346523
2025-12-25,1.30729656
2025-12-26,-0.0507802
2025-12-29,-0.01820982
2025-12-30,-0.17940209
2025-12-31,0.09550726
2026-01-05,1.68138311
2026-01-06,1.21908188
2026-01-07,0.51924033
2026-01-08,1.29684361
2026-01-09,1.66660128
2026-01-12,2.76240502
2026-01-13,-1.79071733
2026-01-14,0.95958217
2026-01-15,-0.97479912
2026-01-16,0.04657518
2026-01-19,1.14258666
2026-01-20,-0.99337568
2026-01-21,0.99617705
2026-01-22,1.00100316
2026-01-23,1.85659722
2026-01-26,-1.58374503
2026-01-27,0.27153935
2026-01-28,-0.73036143
2026-01-29,-1.21202155
2026-01-30,-0.11899454
2026-02-02,-2.40501963
2026-02-03,2.82638601
2026-02-04,0.11211325
2026-02-05,-1.22433194
2026-02-06,0.42384239
2026-02-09,2.11559679
2026-02-10,-0.1022312
2026-02-11,-0.4330442
2026-02-12,0.26553089
2026-02-13,-0.65699711
2026-02-24,1.24550822
2026-02-25,1.04439674
2026-02-26,0.79076748
2026-02-27,0.80341463
2026-03-02,-1.66863376
2026-03-03,-4.15924805
2026-03-04,-0.06362541
2026-03-05,1.62905901
2026-03-06,1.34302427
2026-03-09,-0.83272624
2026-03-10,2.18565905
2026-03-11,-0.27216624
2026-03-12,-1.15896773
2026-03-13,-1.32168772
2026-03-16,0.30768278
2026-03-17,-2.49819172
2026-03-18,1.56628182
2026-03-19,-2.55300091
2026-03-20,-2.5827742
2026-03-23,-5.38889579
2026-03-24,3.74122983
2026-03-25,2.28449897
2026-03-26,-1.58010136
2026-03-27,1.56574116
2026-03-30,0.36672045
2026-03-31,-1.66649516
2026-04-01,2.06105807
2026-04-02,-1.75254338
