fund_code,fund_name,ann_return_pct,ann_vol_pct,sharpe,ann_excess_return_pct,tracking_error_pct,information_ratio,max_drawdown_pct
017094.OF,易方达中证1000指数量化增强A,47.39543675576871,20.97000683145009,2.2601536154335764,11.958595075768722,2.7383091356153773,4.367145739767355,-13.21835614786227
017095.OF,易方达中证1000指数量化增强C,46.985497358062275,20.963323868730914,2.2413190604828785,11.548655678062284,2.739189780766149,4.216084536804943,-13.241842025007616
015466.OF,太平中证1000指数增强A,46.750249432300706,21.08665422390984,2.217053921209146,11.313407752300707,4.1784948700792715,2.7075318036913316,-13.066608761739326
019240.OF,华泰柏瑞中证1000指数增强A,45.555210753167586,20.991809684815898,2.1701421381558754,10.118369073167587,3.8575260792223007,2.623020263600527,-13.766264630740896
019241.OF,华泰柏瑞中证1000指数增强C,45.145622852514265,20.986212965893735,2.151203884468522,9.708781172514268,3.85461037908655,2.5187451435273247,-13.78689704823614
018013.OF,长信中证1000指数增强A,47.4663977054984,20.662446866578765,2.297230236670308,12.0295560254984,4.938432404980787,2.4359057771785375,-12.169655497876365
015867.OF,国泰海通中证1000指数增强A,43.10356277957992,21.15052497066631,2.037942927627579,7.66672109957992,3.236628579675144,2.3687367613708146,-13.174868609651224
018014.OF,长信中证1000指数增强C,47.058294548444316,20.659466231944275,2.277807859124714,11.621452868444315,4.946784474847619,2.3492943603131815,-12.18973747016706
015868.OF,国泰海通中证1000指数增强C,42.703880074659075,21.147340029458974,2.0193499520587976,7.26703839465907,3.242522610675164,2.2411681481369574,-13.198061780738946
017953.OF,汇添富中证1000指数增强A,44.22426872089248,20.417508566097204,2.1659973143993603,8.787427040892482,4.2947371130742935,2.0460919515053146,-12.900370636720698
017954.OF,汇添富中证1000指数增强C,43.97127615329578,20.411729185739258,2.1542161251098952,8.534434473295782,4.2919718073254725,1.9884647095606123,-12.908797147473397
014201.OF,天弘中证1000指数增强A,41.8652993742597,21.428199507566877,1.953747880659592,6.428457694259704,3.2523120013488636,1.9765808728048126,-13.462237847011757
017644.OF,博道中证1000指数增强A,43.86204875912166,20.65199937240673,2.123864521210766,8.425207079121664,4.307817312210703,1.9557948883393996,-14.084507042253511
014202.OF,天弘中证1000指数增强C,41.56950220985103,21.427250710632826,1.940029673952666,6.132660529851028,3.2535530601840557,1.8849117922497012,-13.476526541884015
017645.OF,博道中证1000指数增强C,43.45306838650785,20.647182437179648,2.104551965805337,8.016226706507855,4.304017320616953,1.8624987097772134,-14.108883163436763
017846.OF,国金中证1000指数增强A,43.61084741390741,20.277959886668175,2.150652612868592,8.174005733907407,5.607616626133807,1.4576612987081121,-10.42989904392593
017847.OF,国金中证1000指数增强C,43.20978321002844,20.28361930331741,2.130279737746874,7.77294153002844,5.612313487917671,1.3849799279320771,-10.451193938983959
161039.OF,富国中证1000指数增强A,40.227838435334185,19.827710296419813,2.028869588769305,4.790996755334186,3.554206149659342,1.3479794231388031,-13.522987730888506
013331.OF,富国中证1000指数增强C,40.02414265787064,19.82609928686182,2.0187603259100735,4.587300977870645,3.551642509476559,1.2915998627763696,-13.533553280500673
159680.OF,招商中证1000增强策略ETF,40.01084337155033,20.411337351584248,1.9602264507398799,4.57400169155033,4.619852900639894,0.9900751798648798,-13.603588258672572
