fund_code,fund_name,ann_return_pct,ann_vol_pct,sharpe,ann_excess_return_pct,tracking_error_pct,information_ratio,max_drawdown_pct
019555.OF,中银中证1000指数增强A,39.858503210630246,18.541666206103642,2.1496721366664135,4.421661530630248,5.020515120853964,0.8807186960285752,-11.255178350460001
018157.OF,西部利得中证1000指数增强A,38.94394872255235,19.958953573593995,1.951201929447634,3.507107042552345,4.094905422256525,0.8564561768607908,-13.140426628858668
018158.OF,西部利得中证1000指数增强C,38.54266310124005,19.956470362274377,1.931336674350036,3.1058214212400492,4.097727786573264,0.757937467544007,-13.153435014991524
016936.OF,博时中证1000指数增强A,37.56393893510752,19.967346489759986,1.881268447681405,2.1270972551075222,4.453536235022726,0.47761983800198443,-11.18885196198472
017919.OF,中欧中证1000指数增强A,37.338710369287334,19.6632874878769,1.8989047682035847,1.901868689287331,4.1748357310725295,0.4555553348200205,-12.374272101641083
016937.OF,博时中证1000指数增强C,37.26746822842354,19.97152943216009,1.8660297577616591,1.8306265484235387,4.452226822515622,0.41117099855869155,-11.20978650826324
017920.OF,中欧中证1000指数增强C,36.737747359947406,19.654303889501243,1.8691960583539995,1.3009056799474021,4.181481492519339,0.31111118924589753,-12.409054163298297
016785.OF,鹏华中证1000指数增强A,36.43295947750048,19.94137159973385,1.8270036890535024,0.996117797500482,4.138179843609587,0.240713993868281,-12.741790373369316
004194.OF,招商中证1000指数增强A,35.55544972350625,20.728938291216693,1.7152566727728586,0.11860804350624868,4.371754899842704,0.027130533669789268,-12.297555791710941
004195.OF,招商中证1000指数增强C,35.15395755882206,20.725385784859036,1.6961786826908591,-0.28288412117794226,4.376577558632706,-0.06463592096522074,-12.321366329731612
016942.OF,工银瑞信中证1000指数增强A,34.133073759085384,19.560637616713738,1.7449877876128188,-1.3037679209146142,6.249980443728356,-0.20860352006747496,-13.841088401565502
016943.OF,工银瑞信中证1000指数增强C,33.72915867404548,19.55610110867829,1.7247384070374692,-1.707683005954521,6.262041191276711,-0.2727038921962691,-13.870906919741053
006165.OF,建信中证1000指数增强A,32.95659700599659,16.053034177974627,2.0529824231741993,-2.480244674003409,6.383060926979259,-0.38856666141477175,-9.477401609562298
006166.OF,建信中证1000指数增强C,32.5501626041217,16.007139999279445,2.0334777234151096,-2.8866790758782983,6.421259356311112,-0.4495503009142803,-9.47783045175682
005313.OF,万家中证1000指数增强A,29.858005564596567,14.294170174569294,2.0888239890775075,-5.578836115403429,7.804917599003634,-0.7147847552055663,-8.387920734973008
005314.OF,万家中证1000指数增强C,29.87171868088392,14.418098130187998,2.07182101350384,-5.565122999116078,7.698247042731925,-0.7229078215111616,-8.47807757166947
015784.OF,中信建投中证1000A,28.309134511435865,17.31077567531264,1.6353475455064834,-7.127707168564139,6.821058817109114,-1.044956121868626,-12.231330278190152
