,PCT_CHG
2025-07-01,0.276685
2025-07-02,-1.00857454
2025-07-03,0.52546772
2025-07-04,-0.47994856
2025-07-07,0.23672266
2025-07-08,1.27322317
2025-07-09,-0.26892811
2025-07-10,0.25197225
2025-07-11,0.85118901
2025-07-14,0.01865627
2025-07-15,-0.3013027
2025-07-16,0.29845562
2025-07-17,1.1390836
2025-07-18,0.25097345
2025-07-21,0.91856104
2025-07-22,0.37573544
2025-07-23,-0.45024912
2025-07-24,1.4211726
2025-07-25,0.08192362
2025-07-28,0.34845027
2025-07-29,0.65238391
2025-07-30,-0.81788229
2025-07-31,-0.85280724
2025-08-01,0.1394016
2025-08-04,1.03773166
2025-08-05,0.70903817
2025-08-06,1.08771582
2025-08-07,0.01225131
2025-08-08,-0.35003317
2025-08-11,1.54730462
2025-08-12,0.28333208
2025-08-13,1.44641767
2025-08-14,-1.24351993
2025-08-15,2.02126643
2025-08-18,1.68740267
2025-08-19,0.07250468
2025-08-20,0.86446503
2025-08-21,-0.71341696
2025-08-22,1.51098192
2025-08-25,1.55900233
2025-08-26,-0.01686074
2025-08-27,-1.87205529
2025-08-28,1.5076187
2025-08-29,-0.11324393
2025-09-01,0.83982142
2025-09-02,-2.49649644
2025-09-03,-1.46306153
2025-09-04,-2.29949016
2025-09-05,2.90453225
2025-09-08,0.90215711
2025-09-09,-1.16271647
2025-09-10,0.05729427
2025-09-11,2.34735354
2025-09-12,0.31080211
2025-09-15,-0.0985237
2025-09-16,0.91775939
2025-09-17,0.95120038
2025-09-18,-1.0378881
2025-09-19,-0.51111885
2025-09-22,0.68954556
2025-09-23,-1.08698224
2025-09-24,1.70291608
2025-09-25,-0.36778713
2025-09-26,-1.45104669
2025-09-29,1.35505493
2025-09-30,1.0287282
2025-10-09,0.96487863
2025-10-10,-1.49361165
2025-10-13,-0.18657865
2025-10-14,-1.94968097
2025-10-15,1.49592463
2025-10-16,-1.09055998
2025-10-17,-2.92304985
2025-10-20,0.74742974
2025-10-21,1.44853747
2025-10-22,-0.43350486
2025-10-23,-0.0562183
2025-10-24,1.52072375
2025-10-27,1.02635781
2025-10-28,-0.2156274
2025-10-29,1.20194336
2025-10-30,-1.11019819
2025-10-31,0.28843761
2025-11-03,0.41886989
2025-11-04,-1.35825683
2025-11-05,0.39178933
2025-11-06,1.16501398
2025-11-07,-0.13178131
2025-11-10,0.2834241
2025-11-11,-0.2969952
2025-11-12,-0.72160069
2025-11-13,1.39185758
2025-11-14,-1.15695563
2025-11-17,0.27082179
2025-11-18,-0.99660168
2025-11-19,-0.81755474
2025-11-20,-0.63348152
2025-11-21,-3.71517031
2025-11-24,1.25508245
2025-11-25,1.30706066
2025-11-26,-0.02066498
2025-11-27,0.12423486
2025-11-28,1.05761194
2025-12-01,0.71543359
2025-12-02,-0.99507612
2025-12-03,-0.88749378
2025-12-04,0.00528816
2025-12-05,1.29451699
2025-12-08,1.09709068
2025-12-09,-0.57203874
2025-12-10,0.37477525
2025-12-11,-1.2992134
2025-12-12,0.80616027
2025-12-15,-0.83929711
2025-12-16,-1.74382472
2025-12-17,1.49156318
2025-12-18,-0.22412658
2025-12-19,0.78933063
2025-12-22,1.07155774
2025-12-23,-0.21500608
2025-12-24,1.54159252
2025-12-25,0.97247523
2025-12-26,0.34502562
2025-12-29,-0.14952804
2025-12-30,0.04136733
2025-12-31,-0.026516
2026-01-05,2.08807847
2026-01-06,1.43184315
2026-01-07,0.52786789
2026-01-08,0.82425424
2026-01-09,1.97695097
2026-01-12,2.80258911
2026-01-13,-1.84130433
2026-01-14,0.65875931
2026-01-15,-0.19857284
2026-01-16,-0.09763402
2026-01-19,0.39982974
2026-01-20,-1.0028738
2026-01-21,0.79346897
2026-01-22,0.74767452
2026-01-23,1.94236957
2026-01-26,-1.24321196
2026-01-27,0.19985573
2026-01-28,0.21045308
2026-01-29,-0.80462809
2026-01-30,-0.9282823
2026-02-02,-3.38506031
2026-02-03,2.92990785
2026-02-04,-0.0241281
2026-02-05,-1.69418255
2026-02-06,-0.20454069
2026-02-09,2.26296244
2026-02-10,0.20065879
2026-02-11,-0.13074797
2026-02-12,0.91412199
2026-02-13,-1.32297078
2026-02-24,1.1571368
2026-02-25,1.52487228
2026-02-26,0.76291683
2026-02-27,0.82710123
2026-03-02,-0.97979016
2026-03-03,-3.94611987
2026-03-04,-0.58871074
2026-03-05,0.94633303
2026-03-06,0.95136904
2026-03-09,-0.54538708
2026-03-10,1.78234081
2026-03-11,0.16091564
2026-03-12,-0.33022435
2026-03-13,-1.45893168
2026-03-16,-0.03580223
2026-03-17,-2.33207402
2026-03-18,0.95684874
2026-03-19,-2.31406541
2026-03-20,-1.59054335
2026-03-23,-4.80928695
2026-03-24,2.58803261
2026-03-25,1.97772438
2026-03-26,-1.4424215
2026-03-27,1.39981194
2026-03-30,0.27906179
2026-03-31,-1.90629676
2026-04-01,1.89376686
2026-04-02,-1.81263441
2026-04-03,-1.13881875
2026-04-07,0.92106123
2026-04-08,4.59835704
2026-04-09,-0.43140899
2026-04-10,0.96933685
2026-04-13,0.34183054
2026-04-14,1.48512522
2026-04-15,-0.47389474
2026-04-16,1.56447354
2026-04-17,0.90432224
2026-04-20,0.60641815
2026-04-21,-0.07966078
2026-04-22,1.55767297
2026-04-23,-1.39719551
2026-04-24,-0.7007153
2026-04-27,0.41648015
2026-04-28,-1.34354332
2026-04-29,1.41458075
2026-04-30,0.46603256
2026-05-06,2.29790539
2026-05-07,1.63220469
2026-05-08,0.30570508
2026-05-11,1.4372078
2026-05-12,-0.50629207
2026-05-13,1.51396061
2026-05-14,-1.97353068
2026-05-15,-1.09418369
2026-05-18,0.43258204
2026-05-19,1.01409562
2026-05-20,0.00300841
2026-05-21,-3.38763498
2026-05-22,2.14052981
2026-05-25,1.22685153
2026-05-26,-1.27349508
2026-05-27,-1.62005876
2026-05-28,1.0674387
2026-05-29,-2.65124003
2026-06-01,-0.75643476
2026-06-02,0.47515263
2026-06-03,0.57124687
2026-06-04,-0.14923371
2026-06-05,-0.93979348
2026-06-08,-3.1135697
2026-06-09,2.93811063
2026-06-10,-1.44222813
2026-06-11,-0.4789575
2026-06-12,0.53121564
2026-06-15,3.8820151
2026-06-16,1.46892357
2026-06-17,0.67154281
2026-06-18,0.76462688
2026-06-22,1.07913963
2026-06-23,-2.09388771
2026-06-24,1.30699763
2026-06-25,0.3688355
2026-06-26,-2.54378691
2026-06-29,-0.04085727
2026-06-30,2.46447234
2026-07-01,0.7587517
